produto,preco,descricao
Banana,8.90,Frutas
Maça,10.00,Frutas
"Mamão Formosa",7.00,Frutas
Abacate,13.00,Frutas
Pitaya,24.00,Frutas
Pera,8.00,Frutas
"Coco Seco",15.00,Frutas
"Alface Americana",3.70,Verduras
Brócolis,8.00,Verduras
"Alface Crespa",2.00,Verduras
"Alface Lisa",2.50,Verduras
Chuchu,5.00,Verduras
Batata,3.70,Verduras
Cebola,6.00,Verduras
Tomate,6.00,Legumes
Pepino,4.00,Legumes
Alfafa,10.00,Legumes
Couve,3.00,Legumes
Couve-Flor,4.00,Legumes
Abóbora,3.00,Legumes
"Suco de Laranja 1L",9.00,Sucos
"Chandelle Chocolate",69.99,Lácteos
